기준일,검체채취 가능여부,시도,시군구,의료기관명,주소,평일 운영시간,토요일 운영시간,일요일/공휴일 운영시간,대표 전화번호, 주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
2021년 01월 13일 12시,○,서울,양천구,양천구보건소,서울 양천구 신정동(신정6동) 321-5 양천보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2620-3856, 서울 양천구 신정동(신정6동) 321-5 양천보건소,126.866087,37.517585,정좌표,공개용버전 미지원,구주소,미지원,미지원,8095
2021년 01월 13일 12시,○,서울,양천구,이화여자대학교의과대학부속목동병원,서울 양천구 안양천로 1071,09:00 ~ 16:30,미운영,미운영,02-1666-5000, 서울 양천구 안양천로 1071,126.88668,37.536298,정좌표,공개용버전 미지원,새주소,미지원,미지원,7985
2021년 01월 13일 12시,○,서울,양천구,서울특별시 서남병원,양천구 신정이펜1로 20,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,1566-6688, 양천구 신정이펜1로 20,126.8331,37.511849,정좌표,공개용버전 미지원,새주소,미지원,미지원,8049
2021년 01월 13일 12시,○,서울,양천구,홍익병원,서울 양천구 목동로 225,09:00 ~ 17:00,09:00 ~ 13:00,미운영,02-2693-5555, 서울 양천구 목동로 225,126.86366,37.528492,정좌표,공개용버전 미지원,새주소,미지원,미지원,7937
2021년 01월 13일 12시,○,서울,영등포구,영등포구보건소,서울 영등포구 당산동3가(당산제1동) 385-1 영등포구청 영등포구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2670-4953, 서울 영등포구 당산동3가(당산제1동) 385-1 영등포구청 영등포구보건소,126.895915,37.526194,정좌표,공개용버전 미지원,구주소,미지원,미지원,7260
2021년 01월 13일 12시,○,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로 1,08:30 ~ 16:30,08:30 ~ 11:30,미운영,1577-5587, 서울특별시 영등포구 신길로 1,126.90868,37.49328,정좌표,공개용버전 미지원,새주소,미지원,미지원,7441
2021년 01월 13일 12시,○,서울,영등포구,의료법인 성애병원,서울특별시 영등포구 여의대방로 53길22,09:00 ~ 17:00,미운영,미운영,02-840-7115, 서울특별시 영등포구 여의대방로 53길22,126.922274,37.512093,정좌표,공개용버전 미지원,새주소,미지원,미지원,7354
2021년 01월 13일 12시,○,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,08:30 ~ 16:30,미운영,미운영,1661-7575, 서울특별시 영등포구 63로 10,126.936093,37.517948,정좌표,공개용버전 미지원,새주소,미지원,미지원,7345
2021년 01월 13일 12시,○,서울,영등포구,인봉의료재단 영등포병원,서울특별시 영등포구 당산로31길 10,08:30 ~ 17:00,08:30 ~ 12:00,미운영,010-5334-7708, 서울특별시 영등포구 당산로31길 10,126.895724,37.526868,정좌표,공개용버전 미지원,새주소,미지원,미지원,7256
2021년 01월 13일 12시,○,서울,용산구,용산구보건소,서울 용산구 이태원동 34-87,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2199-8373~6, 서울 용산구 이태원동 34-87,126.990171,37.53257,정좌표,공개용버전 미지원,구주소,미지원,미지원,4390
2021년 01월 13일 12시,○,서울,용산구,순천향대학교서울병원,용산구 대사관로 59(한남동),08:30 ~ 17:00,08:30 ~ 12:00,미운영,02-709-9114, 용산구 대사관로 59(한남동),127.004522,37.533944,정좌표,공개용버전 미지원,새주소,미지원,미지원,4401
2021년 01월 13일 12시,○,서울,은평구,은평구보건소,서울 은평구 녹번동 84 은평구종합청사 은평구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-351-8640~1, 서울 은평구 녹번동 84 은평구종합청사 은평구보건소,126.928873,37.602679,정좌표,공개용버전 미지원,구주소,미지원,미지원,3384
2021년 01월 13일 12시,○,서울,은평구,가톨릭대학교 은평성모병원,은평구 통일로1021,08:30 ~ 16:30,미운영,미운영,1811-7755, 은평구 통일로1021,126.916148,37.633613,정좌표,공개용버전 미지원,새주소,미지원,미지원,3312
2021년 01월 13일 12시,○,서울,은평구,서울특별시서북병원,은평구 갈현로7길 49,09:00 ~ 18:00,09:00 ~ 12:00,미운영,02-3156-3022, 은평구 갈현로7길 49,126.904515,37.604114,정좌표,공개용버전 미지원,새주소,미지원,미지원,3433
2021년 01월 13일 12시,○,서울,은평구,서울특별시은평병원,은평구 백련산로 90,10:00 ~ 17:00,미운영,미운영,02-300-8060, 은평구 백련산로 90,126.923622,37.593784,정좌표,공개용버전 미지원,새주소,미지원,미지원,3476
2021년 01월 13일 12시,○,서울,은평구,의료법인 청구성심병원,서울 은평구 통일로 873,09:00 ~ 18:00,미운영,09:00 ~ 18:00,02-383-0129, 서울 은평구 통일로 873,126.919471,37.620867,정좌표,공개용버전 미지원,새주소,미지원,미지원,3330
2021년 01월 13일 12시,○,서울,종로구,종로구보건소,서울 종로구 옥인동(청운효자동) 45-30 종로구보건소,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2148-3725, 서울 종로구 옥인동(청운효자동) 45-30 종로구보건소,126.969207,37.581765,정좌표,공개용버전 미지원,구주소,미지원,미지원,3035
2021년 01월 13일 12시,○,서울,종로구,강북삼성병원,서울시 종로구 평동 108,07:30 ~ 17:30,07:30 ~ 12:00,미운영,02-2001-1896, 서울시 종로구 평동 108,126.96661,37.568128,정좌표,공개용버전 미지원,구주소,미지원,미지원,3181
2021년 01월 13일 12시,○,서울,종로구,서울적십자병원,서울시 종로구 평동 164,10:00 ~ 17:00,미운영,미운영,02-2002-8650, 서울시 종로구 평동 164,126.967206,37.567602,정좌표,공개용버전 미지원,구주소,미지원,미지원,3181
2021년 01월 13일 12시,○,서울,중랑구,중랑구보건소,서울 중랑구 신내2동 662 중랑구청,09:00 ~ 21:00,09:00 ~ 18:00,09:00 ~ 18:00,02-2094-0800, 서울 중랑구 신내2동 662 중랑구청,127.092902,37.606631,정좌표,공개용버전 미지원,구주소,미지원,미지원,2043
2021년 01월 13일 12시,○,서울,중랑구,서울의료원,중랑구 신내로 156,09:00 ~ 21:30,09:00 ~ 21:30,09:00 ~ 21:30,02-2276-8333, 중랑구 신내로 156,127.09866,37.612883,정좌표,공개용버전 미지원,새주소,미지원,미지원,2053
2021년 01월 13일 12시,○,부산,강서구,부산강서구보건소,부산 강서구 대저2동 1932-1 강서브라이트센터 보건소,09:00 ~ 18:00,9:00 ~ 14:00,09:00 ~ 14:00,051-970-3415, 부산 강서구 대저2동 1932-1 강서브라이트센터 보건소,128.957189,35.180174,정좌표,공개용버전 미지원,구주소,미지원,미지원,46720
2021년 01월 13일 12시,○,부산,금정구,금정구보건소,부산광역시 금정구 부곡3동 78,09:00 ~ 18:00,09:00 ~ 13:00,09:00 ~ 13:00,051-519-5051, 부산광역시 금정구 부곡3동 78,129.091938,35.243014,정좌표,공개용버전 미지원,구주소,미지원,미지원,46274
2021년 01월 13일 12시,○,부산,금정구,세웅병원,부산광역시 금정구 서동로 162(서동),09:00 ~ 17:30,09:00 ~ 12:30,미운영,051-500-9700, 부산광역시 금정구 서동로 162(서동),129.104076,35.214411,정좌표,공개용버전 미지원,새주소,미지원,미지원,46327
2021년 01월 13일 12시,○,부산,기장군,기장군보건소,부산 기장군 기장읍 신천리 1번지,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-709-8612, 부산 기장군 기장읍 신천리 1번지,129.222773,35.243782,정좌표,공개용버전 미지원,구주소,미지원,미지원,46077
2021년 01월 13일 12시,○,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,08:30 ~ 17:30,08:30 ~ 12:30,미운영,051-720-5114, 부산광역시 기장군 장안읍 좌동길 40,129.243572,35.32141,정좌표,공개용버전 미지원,새주소,미지원,미지원,46033
2021년 01월 13일 12시,○,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,09:00 ~ 17:00,09:00 ~ 13:00,미운영,051-723-0171, 부산광역시 기장군 기장읍 대청로72번길 6,129.216327,35.23587,정좌표,공개용버전 미지원,새주소,미지원,미지원,46072
2021년 01월 13일 12시,○,부산,동래구,동래구보건소,부산 동래구 명륜2동 702-54번지,09:00 ~ 17:00,09:00 ~ 13:00,09:00 ~ 13:00,051-555-4000, 부산 동래구 명륜2동 702-54번지,129.079851,35.211403,정좌표,공개용버전 미지원,구주소,미지원,미지원,47741
2021년 01월 13일 12시,○,부산,동래구,대동병원,동래구 충렬대로187,09:00 ~ 16:00,09:00 ~ 11:30,미운영,051-554-1233, 동래구 충렬대로187,129.080173,35.204207,정좌표,공개용버전 미지원,새주소,미지원,미지원,47737
2021년 01월 13일 12시,○,부산,동래구,봉생병원,부산광역시 동래구 안연로109번길 27,09:00 ~ 16:30,미운영,미운영,051-520-5510, 부산광역시 동래구 안연로109번길 27,129.096109,35.196907,정좌표,공개용버전 미지원,새주소,미지원,미지원,47889
2021년 01월 13일 12시,○,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,09:30 ~ 16:30,09:30 ~ 12:00,미운영,051-503-2111, 부산광역시 동래구 충렬대로 96,129.071169,35.206811,정좌표,공개용버전 미지원,새주소,미지원,미지원,47821
2021년 01월 13일 12시,○,부산,남구,부산남구보건소,부산 남구 대연6동 1268-3,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-607-6460, 부산 남구 대연6동 1268-3,129.084956,35.136047,정좌표,공개용버전 미지원,구주소,미지원,미지원,48452
2021년 01월 13일 12시,○,부산,남구,부산성모병원,부산시 남구 용호로 232번길 25-14,09:00 ~ 16:00,09:00 ~ 12:00,미운영,051-933-7119, 부산시 남구 용호로 232번길 25-14,129.109189,35.110508,정좌표,공개용버전 미지원,새주소,미지원,미지원,48575
2021년 01월 13일 12시,○,부산,동구,부산동구보건소,부산 동구 수정동(수정제2동) 806-74 동구청 보건소,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-440-6500, 부산 동구 수정동(수정제2동) 806-74 동구청 보건소,129.045378,35.129301,정좌표,공개용버전 미지원,구주소,미지원,미지원,48781
2021년 01월 13일 12시,○,부산,동구,좋은문화병원,부산광역시 동구 범일로 119(범일동),09:00 ~ 17:00,09:00 ~ 13:00,미운영,051-644-2002, 부산광역시 동구 범일로 119(범일동),129.058967,35.140757,정좌표,공개용버전 미지원,새주소,미지원,미지원,48735
2021년 01월 13일 12시,○,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401(좌천동),09:00 ~ 12:00,09:00 ~ 12:00,미운영,051-664-4000, 부산광역시 동구 중앙대로 401(좌천동),129.050435,35.130916,정좌표,공개용버전 미지원,새주소,미지원,미지원,48775
2021년 01월 13일 12시,○,부산,북구,부산북구보건소,부산 북구 화명동 1531-4,09:00 ~ 17:30,09:00 ~ 17:30,09:00 ~ 17:30,051-309-4500, 부산 북구 화명동 1531-4,129.014794,35.239287,정좌표,공개용버전 미지원,구주소,미지원,미지원,46528
2021년 01월 13일 12시,○,부산,북구,부민병원,부산 북구 만덕대로 59,09:00 ~ 17:00,09:00 ~ 13:00,미운영,051-330-3000, 부산 북구 만덕대로 59,129.011202,35.211897,정좌표,공개용버전 미지원,새주소,미지원,미지원,46555
2021년 01월 13일 12시,○,부산,북구,구포성심병원,부산 북구 낙동대로 1786(구포동),09:00 ~ 16:30,미운영,미운영,051-330-2001, 부산 북구 낙동대로 1786(구포동),129.004695,35.209688,정좌표,공개용버전 미지원,새주소,미지원,미지원,46581
2021년 01월 13일 12시,○,부산,서구,부산서구보건소,부산 서구 부용동2가(부민동) 86 서구보건소 부민노인복지관,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-240-4891, 부산 서구 부용동2가(부민동) 86 서구보건소 부민노인복지관,129.018061,35.107458,정좌표,공개용버전 미지원,구주소,미지원,미지원,49233
2021년 01월 13일 12시,○,부산,중구,부산중구보건소,부산 중구 대청동1가 중구청 중구로 120,09:00 ~ 17:00,09:00 ~ 14:00,09:00 ~ 14:00,051-600-4962, 부산 중구 대청동1가 중구청 중구로 120,129.032841,35.104376,법정동 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,부산,중구,메리놀병원,중구로 121,11:00 ~ 17:00,11:00 ~ 12:30,미운영,051-461-2348/야2300, 중구로 121,126.887781,37.495653,시군구 좌표,공개용버전 미지원,판별불가,미지원,미지원,NULL
2021년 01월 13일 12시,○,부산,부산진구,부산진구보건소,부산 부산진구 범천동(범천제1동) 849-10 부산진보건소,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-645-4000, 부산 부산진구 범천동(범천제1동) 849-10 부산진보건소,129.059894,35.146202,정좌표,공개용버전 미지원,구주소,미지원,미지원,47357
2021년 01월 13일 12시,○,부산,사상구,사상구보건소,부산 사상구 감전동 138-8,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-310-4791, 부산 사상구 감전동 138-8,128.992168,35.152247,정좌표,공개용버전 미지원,구주소,미지원,미지원,46985
2021년 01월 13일 12시,○,부산,사상구,부산보훈병원,부산 사상구 백양대로 420 (주례동),08:30 ~ 17:30,미운영,미운영,051-601-6000, 부산 사상구 백양대로 420 (주례동),129.00746,35.153428,정좌표,공개용버전 미지원,새주소,미지원,미지원,46996
2021년 01월 13일 12시,○,부산,사상구,좋은삼선병원,부산 사상구 가야대로 326,09:00 ~ 16:00,: ~ :,미운영,051-310-0900, 부산 사상구 가야대로 326,129.007904,35.150251,정좌표,공개용버전 미지원,새주소,미지원,미지원,47007
2021년 01월 13일 12시,○,부산,사하구,사하구보건소,부산 사하구 신평2동 647-5,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-220-5741, 부산 사하구 신평2동 647-5,128.95942,35.094352,정좌표,공개용버전 미지원,구주소,미지원,미지원,49432
2021년 01월 13일 12시,○,부산,수영구,수영구보건소,부산 수영구 광안1동 661-1번지,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-752-4000, 부산 수영구 광안1동 661-1번지,129.113452,35.162595,정좌표,공개용버전 미지원,구주소,미지원,미지원,48247
2021년 01월 13일 12시,○,부산,수영구,좋은강안병원,부산 수영구 수영로 493,09:00 ~ 16:30,09:00 ~ 12:30,미운영,051-625-0900, 부산 수영구 수영로 493,129.110047,35.15035,정좌표,공개용버전 미지원,새주소,미지원,미지원,48265
2021년 01월 13일 12시,○,부산,수영구,BHS한서병원,부산 수영구 수영로 615,15:30 ~ 17:30,미운영,미운영,051-756-0081, 부산 수영구 수영로 615,129.113196,35.160777,정좌표,공개용버전 미지원,새주소,미지원,미지원,48253
2021년 01월 13일 12시,○,부산,연제구,연제구보건소,부산 연제구 연산2동 연제로 2(연산2동 1555),9:0 ~ 18:0,9:0 ~ 13:0,9:0 ~ 13:0,051-665-4781, 부산 연제구 연산2동 연제로 2(연산2동 1555),129.079747,35.176187,정좌표,공개용버전 미지원,새주소,미지원,미지원,47605
