종교분류,종교단체명,소재지도로명주소,소재지지번주소,전화번호
기독교,성남교회,전라북도 군산시 옥서면 양포로 116,전라북도 군산시 옥서면 옥봉리1018-5번지 ,063-471-2213
기독교,가나안교회,전라북도 군산시 옥서면 남동2길 20-11,전라북도 군산시 옥서면 옥봉리328번지 ,063-471-2081
기독교,군산감리교회,전라북도 군산시 동산길 10,전라북도 군산시 금동14-15번지 ,063-445-1144
기독교,군산신흥교회,전라북도 군산시 구영1길 121,전라북도 군산시 금동26-9번지 ,063-446-2445
기독교,군산해망동교회,전라북도 군산시 해망로 364,전라북도 군산시 해망동999-19번지 ,063-445-3211
기독교,군산우주교회,전라북도 군산시 중앙로 212,전라북도 군산시 금동26-91번지 ,063-445-1353
기독교,군산은혜교회,전라북도 군산시 절골1길 7-5,전라북도 군산시 신흥동36-9번지 ,
기독교,군산햇빛교회,전라북도 군산시 중앙로 219-13,전라북도 군산시 금동35-22번지 ,063-442-7222
기독교,군산은혜성결교회,전라북도 군산시 중앙로 209-2,전라북도 군산시 금동38-6번지 ,
기독교,그루터기교회,"전라북도 군산시 해망로 407, 4층",전라북도 군산시 해망동1010-17번지 4층,
기독교,군산삼빛교회,전라북도 군산시 도선길 17,전라북도 군산시 금동1-6번지 ,063-446-2334
기독교,세광교회,전라북도 군산시 구영신창길 45,전라북도 군산시 월명동9-5번지 ,063-446-2453
기독교,군산성광교회,전라북도 군산시 우체통거리2길 17,전라북도 군산시 개복동3-2번지 ,063-445-4627
기독교,개복교회,전라북도 군산시 중앙로 119-5,전라북도 군산시 개복동13-1번지 ,063-442-2401
기독교,월명교회,전라북도 군산시 월명로 509-5,전라북도 군산시 월명동26-12번지 ,063-446-3403
기독교,동신교회,전라북도 군산시 월명안길 3,전라북도 군산시 월명동21-3번지 ,
기독교,하나님께서기뻐하시는교회,전라북도 군산시 대학로 44 2층,전라북도 군산시 신창동35-1번지 2층,
기독교,주영광교회,전라북도 군산시 구영6길 128,전라북도 군산시 영화동10-15번지 ,
기독교,영안교회,전라북도 군산시 둔배미길 21 소망관 2층,전라북도 군산시 중앙로2가135-2번지 소망관 2층,063-450-8541
기독교,시냇가에심은나무교회,전라북도 군산시 동령길 26,전라북도 군산시 장미동2-38번지 ,070-4042-1382
기독교,예닮교회,"전라북도 군산시 장미1길 27, 7층",전라북도 군산시 장미동10-20번지 7층,
기독교,예찬교회,"전라북도 군산시 동령길 39, 2층",전라북도 군산시 장미동12-41번지 2층,063-467-3046
기독교,알음교회,전라북도 군산시 동령길 38-1,전라북도 군산시 장미동1-56번지 ,
기독교,빛과소금교회,전라북도 군산시 월명로 427-2,전라북도 군산시 선양동223-12번지 ,
기독교,이루리교회,전라북도 군산시 선양안길 11,전라북도 군산시 선양동902-3번지 ,063-465-3319
기독교,대한예수교장로회 화평교회,전라북도 군산시 대학로 80 2층,전라북도 군산시 월명동19-7번지 2층,
기독교,세움교회,전라북도 군산시 월명1길 3,전라북도 군산시 월명동23-1번지 클래시움 ,
기독교,함께걷는교회,전라북도 군산시 아리랑로 38-3,전라북도 군산시 선양동208-6번지 ,
기독교,열린문교회,전라북도 군산시 선양4길 5-26,전라북도 군산시 선양동257-10번지 ,063-462-4196
기독교,복음교회,전라북도 군산시 둔율1길 6,전라북도 군산시 둔율동186-22번지 ,063-445-3944
기독교,열매교회,전라북도 군산시 둔배미길 1-2,전라북도 군산시 둔율동174-1번지 ,070-4118-3927
기독교,하늘소망교회,전라북도 군산시 명산길 4,전라북도 군산시 명산동10-11번지 ,063-467-8084
기독교,반석교회,전라북도 군산시 오룡로 43,전라북도 군산시 송창동155-27번지 ,
기독교,남군산교회,전라북도 군산시 삼화3길 23,전라북도 군산시 삼학동815-7번지 ,063-465-6880
기독교,사랑이풍성한교회,전라북도 군산시 삼학안2길 33-7,전라북도 군산시 삼학동278-6번지 ,
기독교,순복음중앙교회,전라북도 군산시 삼학5길 6,전라북도 군산시 삼학동275-7번지 ,063-466-3323
기독교,기쁨교회,전라북도 군산시 기와골2길 5,전라북도 군산시 삼학동870-5번지 ,
기독교,한우리교회,전라북도 군산시 대학로 108-1 2층,전라북도 군산시 금광동167-14번지 2층,
기독교,주영광교회,전라북도 군산시 미원로 68,전라북도 군산시 삼학동884-47번지 ,
기독교,안디옥교회,전라북도 군산시 대학로 106-1,전라북도 군산시 금광동167-13번지 ,
기독교,열린숲교회,"전라북도 군산시 미원로 77-1,2층",전라북도 군산시 삼학동265-47번지 2층,
기독교,군산초대교회,전라북도 군산시 삼학1길 38-1,전라북도 군산시 삼학동790-4번지 ,070-4045-1986
기독교,군산벧엘교회,전라북도 군산시 삼학1길 34-1,전라북도 군산시 삼학동790-44번지 ,063-442-3030
기독교,서부교회,전라북도 군산시 효자길 4-5,전라북도 군산시 삼학동888-386번지 ,
기독교,늘푸른교회,전라북도 군산시 삼학안2길 10,전라북도 군산시 삼학동796-3번지 ,063-465-8216
기독교,광생교회,전라북도 군산시 삼학3길 39,전라북도 군산시 삼학동283번지 ,
기독교,삼학장로교회,전라북도 군산시 삼학1길 20,전라북도 군산시 삼학동795-23번지 ,070-8229-5954
기독교,성서교회,전라북도 군산시 기와골2길 4,전라북도 군산시 삼학동812-25번지 ,063-462-4992
기독교,송산교회,전라북도 군산시 청소년회관로 53-13,전라북도 군산시 송풍동947-5번지 ,063-468-1300
기독교,삼성교회,전라북도 군산시 대학로 140,전라북도 군산시 신풍동1001-3번지 ,063-471-2441
기독교,서문교회,전라북도 군산시 백토로 13,전라북도 군산시 문화동879-14번지 ,063-462-8404
기독교,중앙성결교회,전라북도 군산시 백토로 50,전라북도 군산시 문화동896-1번지 ,063-465-2900
기독교,헤븐교회,전라북도 군산시 문화1길 69,전라북도 군산시 문화동887-15번지 ,063-471-0175
기독교,예뜨랑교회,전라북도 군산시 문화안길 71,전라북도 군산시 문화동891-1번지 ,063-466-2440
기독교,동부교회,전라북도 군산시 문화로 23,전라북도 군산시 문화동26-6번지 ,063-464-5601
기독교,문화교회,전라북도 군산시 서흥안1길 18,전라북도 군산시 문화동909-1번지 ,063-463-0746
기독교,지구촌교회,전라북도 군산시 문화안길 24,전라북도 군산시 문화동547-3번지 ,063-462-5904
기독교,광성교회,전라북도 군산시 축동로 123-7,전라북도 군산시 문화동35-16번지 ,063-465-3483
기독교,부흥교회,전라북도 군산시 군중길 5,전라북도 군산시 문화동888-17번지 ,063-465-1045
기독교,큰방주교회,전라북도 군산시 대학로 155-1,전라북도 군산시 문화동877-25번지 ,
기독교,축복교회,전라북도 군산시 대학로 148-1,전라북도 군산시 문화동876-24번지 ,
기독교,기쁨의교회,"전라북도 군산시 대학로 136, 2층",전라북도 군산시 신풍동1001-2번지 2층,
기독교,군산한걸음교회,전라북도 군산시 청소년회관로 43-3,전라북도 군산시 송풍동931-3번지 ,063-461-0153
기독교,나운복음교회,전라북도 군산시 문화3길 41,전라북도 군산시 문화동912-11번지 ,063-446-1481
기독교,시민교회,전라북도 군산시 하신재길 26-10,전라북도 군산시 문화동549-13번지 ,070-4214-3291
기독교,주성령기도원(교회),전라북도 군산시 문화1길 19-1,전라북도 군산시 문화동919-1번지 ,063-462-5590
기독교,열방교회,전라북도 군산시 미원로 12-1,전라북도 군산시 문화동1-24번지 ,
기독교,제자교회,전라북도 군산시 팔마로 32,전라북도 군산시 문화동912-6번지 ,
기독교,주동행교회,전라북도 군산시 오룡1길 57,전라북도 군산시 신풍동999-26번지 ,
기독교,초장교회,전라북도 군산시 하신재길 30,전라북도 군산시 문화동915-23번지 ,063-463-8525
기독교,주왕교회,전라북도 군산시 팔마로 6,전라북도 군산시 문화동918-11번지 ,
기독교,성서침례교회,전라북도 군산시 신풍길 23,전라북도 군산시 신풍동910번지 ,
기독교,생명나무교회,"전라북도 군산시 팔마로 37, 2층",전라북도 군산시 문화동897-8번지 2층,063-464-5363
기독교,변화교회,전라북도 군산시 개정면 최호장군길 131-2,전라북도 군산시 개정면 발산리382-1번지 ,
기독교,예길교회,전라북도 군산시 삼화길 6,전라북도 군산시 문화동893-1번지 ,063-468-8109
기독교,울타리교회,전라북도 군산시 팔마로 26,전라북도 군산시 문화동913-26번지 ,063-464-8186
기독교,정금교회,전라북도 군산시 대학로 145,전라북도 군산시 문화동877-1번지 ,
기독교,축복교회,전라북도 군산시 문화3길 34,전라북도 군산시 문화동911-7번지 ,063-462-0685
기독교,구세군 군산영문,전라북도 군산시 나운우회로 26,전라북도 군산시 문화동733번지 ,
기독교,예닮교회,전라북도 군산시 대학로 163,전라북도 군산시 문화동887-30번지 ,
기독교,큰빛교회,전라북도 군산시 백토로 339-3,전라북도 군산시 문화동549-21번지 ,063-471-9491
기독교,군산가정교회,전라북도 군산시 삼화길 60,전라북도 군산시 문화동14-5번지 ,063-465-4834
기독교,행복한교회,전라북도 군산시 신풍길 10-1,전라북도 군산시 신풍동893-3번지 ,
기독교,사랑의 교회,전라북도 군산시 문화3길 14-2,전라북도 군산시 문화동916-24번지 ,063-467-1335
기독교,해성교회,"전라북도 군산시 문화3길 21, 2층",전라북도 군산시 문화동913-14번지 2층,
기독교,본분교회,전라북도 군산시 청소년회관로 41,전라북도 군산시 송풍동932-15번지 ,063-467-0153
기독교,꿈의교회,"전라북도 군산시 신풍길 31, 3층",전라북도 군산시 신풍동904-8번지 3층,063-462-6004
기독교,축복열린교회,전라북도 군산시 백토로 61,전라북도 군산시 문화동898-14번지 ,063-467-5959
기독교,대은성결교회,전라북도 군산시 군중길 13-6,전라북도 군산시 문화동889-26번지 ,063-462-5080
기독교,미화교회,전라북도 군산시 삼화안길 19,전라북도 군산시 문화동14-12번지 ,
기독교,삼일교회,전라북도 군산시 백토로 42-8,전라북도 군산시 문화동884-6번지 ,063-462-4931
기독교,신풍복음교회,전라북도 군산시 군중길 19,전라북도 군산시 문화동824-16번지 ,063-462-4687
기독교,중동교회,전라북도 군산시 선창2길 14,전라북도 군산시 중동274-19번지 ,063-442-2311
기독교,제일교회,전라북도 군산시 싸전길 4,전라북도 군산시 중앙로2가12-1번지 ,
기독교,서광교회,전라북도 군산시 평화길 7,전라북도 군산시 평화동158-6번지 ,063-461-1491
기독교,생수같은교회,전라북도 군산시 큰샘길 67,전라북도 군산시 신영동7-20번지 ,
기독교,주다은교회,전라북도 군산시 싸전길 15,전라북도 군산시 죽성동33-13번지 ,
